image_name,width,height,x0,y0,x1,y1,out_of_bounds,bbox_width,bbox_height,bbox_area
00002405.jpg,2048,1365,1266,105,1634,397,False,368,292,107456
00000206.jpg,1000,667,527,87,803,296,False,276,209,57684
00002411.jpg,840,560,470,76,678,237,False,208,161,33488
00003069.jpg,1023,713,224,319,483,529,False,259,210,54390
00003069.jpg,1023,713,62,302,276,472,False,214,170,36380
00003069.jpg,1023,713,415,294,633,467,False,218,173,37714
00003069.jpg,1023,713,566,314,749,460,False,183,146,26718
00003069.jpg,1023,713,664,428,844,573,False,180,145,26100
00003069.jpg,1023,713,722,315,993,539,False,271,224,60704
00003069.jpg,1023,713,1,364,139,513,False,138,149,20562
00003069.jpg,1023,713,859,328,1017,505,False,158,177,27966
00000560.jpg,1500,1001,769,81,1271,464,False,502,383,192266
00000560.jpg,1500,1001,335,244,1082,810,False,747,566,422802
00000560.jpg,1500,1001,417,50,814,351,False,397,301,119497
00000560.jpg,1500,1001,1,22,477,497,False,476,475,226100
00000560.jpg,1500,1001,1038,61,1499,590,False,461,529,243869
00001695.jpg,323,254,98,62,211,166,False,113,104,11752
00001681.jpg,626,417,250,48,386,156,False,136,108,14688
00001859.jpg,678,1024,313,126,397,274,False,84,148,12432
00001871.jpg,390,280,127,33,273,152,False,146,119,17374
00001865.jpg,1050,700,335,26,827,408,False,492,382,187944
00001864.jpg,1300,866,476,81,606,182,False,130,101,13130
00001870.jpg,676,1023,103,44,434,614,False,331,570,188670
00001858.jpg,1600,1156,890,74,1286,407,False,396,333,131868
00001680.jpg,600,419,245,43,358,134,False,113,91,10283
00003097.jpg,612,408,420,149,522,229,False,102,80,8160
00003097.jpg,612,408,295,66,434,175,False,139,109,15151
00003097.jpg,612,408,403,87,508,167,False,105,80,8400
00003083.jpg,1000,1500,379,207,490,402,False,111,195,21645
00001694.jpg,319,450,109,27,182,146,False,73,119,8687
00000207.jpg,1024,682,639,136,758,228,False,119,92,10948
00001119.jpg,400,600,133,1,238,176,False,105,175,18375
00000561.jpg,8192,5461,3976,2375,5544,3592,False,1568,1217,1908256
00000561.jpg,8192,5461,5212,2211,6815,3455,False,1603,1244,1994132
00000561.jpg,8192,5461,3189,1596,4567,2665,False,1378,1069,1473082
00000561.jpg,8192,5461,2145,1749,3748,2993,False,1603,1244,1994132
00003068.jpg,960,640,307,176,658,448,False,351,272,95472
00002376.jpg,800,547,162,39,741,500,False,579,461,266919
00000213.jpg,735,490,212,39,499,261,False,287,222,63714
00001125.jpg,1000,569,381,77,614,231,False,233,154,35882
00003054.jpg,960,720,637,132,792,267,False,155,135,20925
00003054.jpg,960,720,168,277,284,378,False,116,101,11716
00001643.jpg,1300,970,761,224,1005,435,False,244,211,51484
00001643.jpg,1300,970,238,274,456,464,False,218,190,41420
00001643.jpg,1300,970,456,193,700,400,False,244,207,50508
00001657.jpg,1500,1101,739,240,1081,538,False,342,298,101916
00000549.jpg,626,415,90,148,229,256,False,139,108,15012
00000549.jpg,626,415,348,169,517,299,False,169,130,21970
00000549.jpg,626,415,203,144,364,266,False,161,122,19642
00000549.jpg,626,415,432,120,624,289,False,192,169,32448
00002438.jpg,1400,1750,642,320,776,519,False,134,199,26666
00001131.jpg,366,540,99,34,258,301,False,159,267,42453
00003295.jpg,612,361,356,65,575,219,False,219,154,33726
00003295.jpg,612,361,15,35,240,190,False,225,155,34875
00003295.jpg,612,361,119,46,368,213,False,249,167,41583
00003295.jpg,612,361,253,142,433,266,False,180,124,22320
00001482.jpg,770,513,254,21,467,190,False,213,169,35997
00001482.jpg,770,513,497,147,692,298,False,195,151,29445
00000944.jpg,866,1390,431,78,564,328,False,133,250,33250
00002821.jpg,2500,1667,1266,393,1835,826,False,569,433,246377
00002821.jpg,2500,1667,610,266,1144,671,False,534,405,216270
00000788.jpg,590,788,252,67,358,232,False,106,165,17490
00002174.jpg,1067,1390,280,429,455,689,False,175,260,45500
00000763.jpg,955,1300,234,170,492,578,False,258,408,105264
00000005.jpg,1300,957,811,171,976,313,False,165,142,23430
00002606.jpg,640,480,334,75,410,142,False,76,67,5092
00002606.jpg,640,480,203,96,269,154,False,66,58,3828
00002606.jpg,640,480,505,105,604,191,False,99,86,8514
00000011.jpg,4256,2832,1481,830,2110,1317,False,629,487,306323
00000777.jpg,1024,683,312,98,678,389,False,366,291,106506
00001469.jpg,700,1050,353,35,438,183,False,85,148,12580
00002160.jpg,699,1050,192,331,442,768,False,250,437,109250
00001441.jpg,1470,980,496,62,938,405,False,442,343,151606
00000987.jpg,683,1023,297,42,442,296,False,145,254,36830
00003256.jpg,1024,1024,324,382,674,782,False,350,400,140000
00001327.jpg,1300,1300,355,124,691,515,False,336,391,131376
00001333.jpg,1000,667,602,67,835,248,False,233,181,42173
00001455.jpg,1001,1600,486,248,580,422,False,94,174,16356
00000993.jpg,1024,682,501,86,844,347,False,343,261,89523
00000993.jpg,1024,682,146,110,489,376,False,343,266,91238
00000830.jpg,500,327,210,43,319,126,False,109,83,9047
00003487.jpg,236,236,79,60,132,121,False,53,61,3233
00002941.jpg,464,700,141,261,224,407,False,83,146,12118
00002799.jpg,800,532,398,255,690,481,False,292,226,65992
00002799.jpg,800,532,148,160,476,419,False,328,259,84952
00001284.jpg,1300,863,302,39,646,304,False,344,265,91160
00001284.jpg,1300,863,771,41,1100,295,False,329,254,83566
00000824.jpg,333,519,116,26,194,167,False,78,141,10998
00002000.jpg,640,360,146,42,376,193,False,230,151,34730
00002000.jpg,640,360,386,80,563,198,False,177,118,20886
00000617.jpg,1024,683,123,114,328,273,False,205,159,32595
00000617.jpg,1024,683,717,130,913,282,False,196,152,29792
00000617.jpg,1024,683,344,3,509,131,False,165,128,21120
00000617.jpg,1024,683,371,190,666,419,False,295,229,67555
00000617.jpg,1024,683,239,51,407,179,False,168,128,21504
00000617.jpg,1024,683,561,30,740,173,False,179,143,25597
00002766.jpg,2048,1365,751,248,1516,841,False,765,593,453645
00003478.jpg,236,157,28,3,159,105,False,131,102,13362
00002772.jpg,866,1390,89,24,539,846,False,450,822,369900
00000165.jpg,681,1024,260,202,483,584,False,223,382,85186
00000603.jpg,1155,648,681,81,1077,340,False,396,259,102564
00000603.jpg,1155,648,492,211,1019,548,False,527,337,177599
00001535.jpg,333,519,149,1,307,277,False,158,276,43608
00003444.jpg,800,800,400,203,590,425,False,190,222,42180
00001253.jpg,626,626,162,151,381,406,False,219,255,55845
00000159.jpg,1000,667,259,251,383,347,False,124,96,11904
00000159.jpg,1000,667,442,153,583,262,False,141,109,15369
00000159.jpg,1000,667,605,175,731,273,False,126,98,12348
00000159.jpg,1000,667,385,254,533,369,False,148,115,17020
00001247.jpg,800,551,271,100,527,306,False,256,206,52736
00003450.jpg,236,353,112,143,141,194,False,29,51,1479
00003450.jpg,236,353,182,162,211,213,False,29,51,1479
00003336.jpg,1186,750,459,184,729,382,False,270,198,53460
00002028.jpg,1581,1054,637,87,1113,455,False,476,368,175168
00001910.jpg,598,900,171,70,426,518,False,255,448,114240
00001904.jpg,866,1390,96,107,517,878,False,421,771,324591
00001092.jpg,600,420,277,48,466,199,False,189,151,28539
00001938.jpg,360,254,61,17,241,162,False,180,145,26100
00001086.jpg,800,582,203,194,343,313,False,140,119,16660
00002564.jpg,464,600,150,158,256,317,False,106,159,16854
00002202.jpg,800,475,425,112,522,181,False,97,69,6693
00003108.jpg,504,483,280,233,355,314,False,75,81,6075
00003108.jpg,504,483,97,121,175,207,False,78,86,6708
00003108.jpg,504,483,216,44,287,122,False,71,78,5538
00003108.jpg,504,483,351,113,420,190,False,69,77,5313
00001079.jpg,866,1390,243,280,445,657,False,202,377,76154
00001051.jpg,1068,1700,448,30,718,530,False,270,500,135000
00000429.jpg,600,400,358,136,429,191,False,71,55,3905
00001737.jpg,1024,774,435,52,689,271,False,254,219,55626
00001723.jpg,1024,682,316,22,690,312,False,374,290,108460
00001045.jpg,450,315,159,26,355,190,False,196,164,32144
00001735.jpg,390,280,106,9,229,112,False,123,103,12669
00001735.jpg,390,280,219,23,350,133,False,131,110,14410
00001047.jpg,1300,1298,488,103,809,477,False,321,374,120054
00003136.jpg,894,610,329,294,433,377,False,104,83,8632
00002228.jpg,700,1050,244,67,354,259,False,110,192,21120
00001721.jpg,600,421,344,156,408,209,False,64,53,3392
00001709.jpg,4016,6016,1812,745,2969,2718,False,1157,1973,2282761
00002566.jpg,680,1019,306,113,383,251,False,77,138,10626
00002572.jpg,800,1200,332,39,514,350,False,182,311,56602
00000365.jpg,1000,667,503,65,804,293,False,301,228,68628
00001090.jpg,1039,1300,570,97,685,269,False,115,172,19780
00001084.jpg,390,280,164,16,233,73,False,69,57,3933
00001912.jpg,1500,1120,434,86,1065,634,False,631,548,345788
00001906.jpg,683,1024,364,109,510,363,False,146,254,37084
00001251.jpg,779,1000,407,81,492,207,False,85,126,10710
00002758.jpg,488,488,104,31,242,188,False,138,157,21666
00003320.jpg,640,960,264,312,453,634,False,189,322,60858
00001537.jpg,392,600,146,46,275,275,False,129,229,29541
00001523.jpg,2000,1333,495,282,1374,963,False,879,681,598599
00003334.jpg,612,408,90,126,336,317,False,246,191,46986
00003452.jpg,236,354,86,87,116,140,False,30,53,1590
00000615.jpg,1232,821,981,229,1193,394,False,212,165,34980
00000615.jpg,1232,821,607,225,809,383,False,202,158,31916
00000615.jpg,1232,821,752,263,930,402,False,178,139,24742
00002002.jpg,1300,956,152,2,996,535,False,844,533,449852
00002016.jpg,855,1390,249,193,675,980,False,426,787,335262
00003308.jpg,720,1076,387,87,581,425,False,194,338,65572
00000601.jpg,640,427,254,97,377,192,False,123,95,11685
00000601.jpg,640,427,136,181,273,285,False,137,104,14248
00000601.jpg,640,427,426,145,559,247,False,133,102,13566
00000601.jpg,640,427,194,124,295,201,False,101,77,7777
00000601.jpg,640,427,378,130,479,208,False,101,78,7878
00001279.jpg,209,140,75,32,148,90,False,73,58,4234
00002943.jpg,600,419,16,17,348,338,False,332,321,106572
00002943.jpg,600,419,390,1,600,217,False,210,216,45360
00002943.jpg,600,419,156,63,476,323,False,320,260,83200
00000832.jpg,590,887,253,34,371,236,False,118,202,23836
00000826.jpg,1024,682,368,50,617,243,False,249,193,48057
00001286.jpg,1000,668,502,135,690,281,False,188,146,27448
00001325.jpg,1300,956,88,1,1198,885,False,1110,884,981240
00003254.jpg,612,408,380,85,456,142,False,76,57,4332
00003254.jpg,612,408,460,99,529,152,False,69,53,3657
00000985.jpg,2000,3000,938,338,1540,1388,False,602,1050,632100
00001443.jpg,1600,1155,866,59,1147,295,False,281,236,66316
00001457.jpg,866,1300,283,216,384,388,False,101,172,17372
00003240.jpg,390,280,117,62,251,174,False,134,112,15008
00003240.jpg,390,280,19,101,127,191,False,108,90,9720
00003240.jpg,390,280,207,33,314,123,False,107,90,9630
00002638.jpg,1023,682,560,245,740,385,False,180,140,25200
00002610.jpg,1024,682,569,168,699,269,False,130,101,13130
00002610.jpg,1024,682,198,73,333,176,False,135,103,13905
00001319.jpg,333,519,145,46,220,180,False,75,134,10050
00000761.jpg,236,354,101,7,131,59,False,30,52,1560
00003268.jpg,509,340,300,87,406,169,False,106,82,8692
00002162.jpg,640,480,153,56,569,411,False,416,355,147680
00000775.jpg,1000,1498,356,570,539,889,False,183,319,58377
00002604.jpg,1300,956,496,89,923,454,False,427,365,155855
00002837.jpg,829,580,460,290,583,390,False,123,100,12300
00002837.jpg,829,580,333,185,476,304,False,143,119,17017
00002837.jpg,829,580,605,236,757,360,False,152,124,18848
00001480.jpg,1000,667,342,99,839,494,False,497,395,196315
00003297.jpg,735,490,199,81,356,203,False,157,122,19154
00003297.jpg,735,490,331,115,471,224,False,140,109,15260
00003297.jpg,735,490,421,89,604,231,False,183,142,25986
00003297.jpg,735,490,199,259,340,368,False,141,109,15369
00003297.jpg,735,490,127,85,262,190,False,135,105,14175
00003297.jpg,735,490,486,336,610,432,False,124,96,11904
00003283.jpg,800,533,388,71,526,178,False,138,107,14766
00000952.jpg,590,367,180,37,350,160,False,170,123,20910
00001494.jpg,450,320,306,21,389,90,False,83,69,5727
00002823.jpg,504,358,213,154,267,198,False,54,44,2376
00002823.jpg,504,358,173,74,235,126,False,62,52,3224
00002823.jpg,504,358,269,72,330,123,False,61,51,3111
00002823.jpg,504,358,332,160,383,203,False,51,43,2193
00001899.jpg,1300,957,525,125,933,475,False,408,350,142800
00001641.jpg,600,420,238,52,371,160,False,133,108,14364
00002348.jpg,2946,1960,1744,237,2473,801,False,729,564,411156
00003056.jpg,633,1234,194,683,402,1144,False,208,461,95888
00000239.jpg,500,486,117,181,174,245,False,57,64,3648
00000239.jpg,500,486,217,121,271,181,False,54,60,3240
00000239.jpg,500,486,401,129,452,186,False,51,57,2907
00000239.jpg,500,486,48,126,108,191,False,60,65,3900
00000239.jpg,500,486,326,141,375,195,False,49,54,2646
00001133.jpg,533,849,199,1,370,304,False,171,303,51813
00003042.jpg,3072,2304,1294,1,2025,480,False,731,479,350149
00001655.jpg,800,533,317,101,568,291,False,251,190,47690
00002374.jpg,789,900,579,148,700,306,False,121,158,19118
00002374.jpg,789,900,247,163,363,318,False,116,155,17980
00000563.jpg,650,433,115,130,239,226,False,124,96,11904
00000563.jpg,650,433,179,42,309,141,False,130,99,12870
00000563.jpg,650,433,280,143,404,240,False,124,97,12028
00000563.jpg,650,433,310,229,455,341,False,145,112,16240
00000205.jpg,800,582,499,92,636,208,False,137,116,15892
00002412.jpg,1500,1000,139,264,519,559,False,380,295,112100
00002412.jpg,1500,1000,1015,416,1364,682,False,349,266,92834
00002412.jpg,1500,1000,588,287,959,575,False,371,288,106848
00002406.jpg,1000,750,754,182,941,346,False,187,164,30668
00000211.jpg,534,849,175,202,271,380,False,96,178,17088
00000577.jpg,590,394,420,62,513,134,False,93,72,6696
00000577.jpg,590,394,7,51,150,162,False,143,111,15873
00000577.jpg,590,394,236,104,385,220,False,149,116,17284
00000577.jpg,590,394,342,85,435,157,False,93,72,6696
00000577.jpg,590,394,185,105,269,170,False,84,65,5460
00000577.jpg,590,394,242,74,317,132,False,75,58,4350
00001669.jpg,600,900,267,33,343,166,False,76,133,10108
00002360.jpg,381,600,150,131,207,234,False,57,103,5871
00003095.jpg,1300,959,266,207,762,633,False,496,426,211296
00001682.jpg,600,900,253,121,331,257,False,78,136,10608
00001696.jpg,390,280,205,22,290,93,False,85,71,6035
00000588.jpg,1800,1200,1244,293,1628,591,False,384,298,114432
00003081.jpg,616,823,177,99,483,565,False,306,466,142596
00001866.jpg,1000,1500,427,320,680,752,False,253,432,109296
00001872.jpg,1300,881,258,23,602,300,False,344,277,95288
00001873.jpg,800,582,417,99,658,303,False,241,204,49164
00003080.jpg,390,280,14,59,189,202,False,175,143,25025
00003080.jpg,390,280,129,61,254,163,False,125,102,12750
00003080.jpg,390,280,166,1,328,121,False,162,120,19440
00000589.jpg,590,433,53,30,112,81,False,59,51,3009
00000589.jpg,590,433,360,29,414,75,False,54,46,2484
00000589.jpg,590,433,478,48,533,95,False,55,47,2585
00001697.jpg,800,746,1,1,339,371,False,338,370,125060
00001668.jpg,626,417,245,45,373,144,False,128,99,12672
00000576.jpg,1500,1120,1005,53,1419,413,False,414,360,149040
00000576.jpg,1500,1120,852,349,1476,891,False,624,542,338208
00000576.jpg,1500,1120,602,297,1115,744,False,513,447,229311
00000576.jpg,1500,1120,437,279,953,728,False,516,449,231684
00000576.jpg,1500,1120,279,254,782,691,False,503,437,219811
00000576.jpg,1500,1120,95,259,600,759,False,505,500,252500
00000562.jpg,630,343,22,62,233,196,False,211,134,28274
00000562.jpg,630,343,310,23,561,182,False,251,159,39909
00000562.jpg,630,343,162,80,369,212,False,207,132,27324
00000562.jpg,630,343,226,90,452,233,False,226,143,32318
00002375.jpg,551,751,161,48,313,289,False,152,241,36632
00002413.jpg,3000,2000,1756,307,2219,666,False,463,359,166217
00000204.jpg,300,470,128,70,163,134,False,35,64,2240
00001132.jpg,450,347,205,56,369,207,False,164,151,24764
00003043.jpg,500,333,193,56,371,194,False,178,138,24564
00003057.jpg,227,340,107,92,150,166,False,43,74,3182
00003057.jpg,227,340,81,34,134,126,False,53,92,4876
00002349.jpg,612,408,163,44,364,203,False,201,159,31959
00000238.jpg,400,600,154,74,225,195,False,71,121,8591
00000953.jpg,1000,1500,392,123,588,465,False,196,342,67032
00002822.jpg,1024,683,621,298,854,479,False,233,181,42173
00002822.jpg,1024,683,389,304,589,460,False,200,156,31200
00002822.jpg,1024,683,248,255,486,440,False,238,185,44030
00002836.jpg,1300,956,460,176,640,330,False,180,154,27720
00003296.jpg,612,408,238,177,411,311,False,173,134,23182
00003296.jpg,612,408,80,65,245,190,False,165,125,20625
00003296.jpg,612,408,136,78,291,201,False,155,123,19065
00003296.jpg,612,408,408,103,612,285,False,204,182,37128
00001481.jpg,650,433,169,61,344,197,False,175,136,23800
00000947.jpg,682,1024,317,139,382,253,False,65,114,7410
00000774.jpg,736,1104,273,108,405,338,False,132,230,30360
00002163.jpg,918,1390,372,133,609,551,False,237,418,99066
00002605.jpg,960,702,300,204,454,339,False,154,135,20790
00000012.jpg,600,400,183,73,402,243,False,219,170,37230
00000006.jpg,2667,4000,1002,787,1547,1739,False,545,952,518840
00002611.jpg,466,700,87,96,129,169,False,42,73,3066
00002611.jpg,466,700,313,68,358,147,False,45,79,3555
00003269.jpg,612,415,131,118,300,251,False,169,133,22477
00000760.jpg,800,533,320,85,571,279,False,251,194,48694
00001456.jpg,667,1000,274,47,443,335,False,169,288,48672
00000990.jpg,612,408,236,27,497,235,False,261,208,54288
00001330.jpg,800,533,164,28,450,250,False,286,222,63492
00002639.jpg,1500,1219,842,341,980,469,False,138,128,17664
00001324.jpg,1000,667,454,66,629,203,False,175,137,23975
00001442.jpg,460,374,106,1,445,262,False,339,261,88479
00003255.jpg,800,800,113,304,316,539,False,203,235,47705
00000827.jpg,666,440,382,56,547,180,False,165,124,20460
00002956.jpg,497,347,174,58,321,176,False,147,118,17346
00001287.jpg,1600,1167,492,42,1092,551,False,600,509,305400
00001293.jpg,626,418,195,60,400,223,False,205,163,33415
00003484.jpg,543,810,104,57,465,682,False,361,625,225625
00000833.jpg,533,849,159,133,275,349,False,116,216,25056
00003309.jpg,612,408,366,104,499,206,False,133,102,13566
00003309.jpg,612,408,106,41,330,218,False,224,177,39648
00002771.jpg,2500,1891,1429,876,1679,1092,False,250,216,54000
00002771.jpg,2500,1891,842,666,1103,896,False,261,230,60030
00000166.jpg,1000,610,433,25,944,380,False,511,355,181405
00001278.jpg,600,397,316,49,504,191,False,188,142,26696
00000172.jpg,681,1024,319,141,455,375,False,136,234,31824
00002003.jpg,1024,684,162,30,1002,683,False,840,653,548520
00001522.jpg,626,417,362,63,490,165,False,128,102,13056
00001244.jpg,2000,1125,748,173,1175,452,False,427,279,119133
00003453.jpg,236,157,128,9,190,58,False,62,49,3038
00002995.jpg,2048,1362,965,161,1946,920,False,981,759,744579
00002759.jpg,1200,1200,420,372,621,607,False,201,235,47235
00003447.jpg,612,408,92,44,293,203,False,201,159,31959
00001536.jpg,626,417,330,55,591,262,False,261,207,54027
00001907.jpg,400,278,88,36,278,193,False,190,157,29830
00001913.jpg,867,1300,333,77,495,361,False,162,284,46008
00001085.jpg,1600,1000,339,1,1378,629,False,1039,628,652492
00001091.jpg,4000,6000,1408,1,2359,1617,False,951,1616,1536816
00000364.jpg,400,600,190,88,234,164,False,44,76,3344
00002573.jpg,960,720,562,151,780,346,False,218,195,42510
00002573.jpg,960,720,151,154,258,247,False,107,93,9951
00002215.jpg,612,487,362,36,493,157,False,131,121,15851
00002215.jpg,612,487,204,121,296,207,False,92,86,7912
00000416.jpg,1600,1167,609,70,861,285,False,252,215,54180
00001708.jpg,1500,1098,879,201,1228,498,False,349,297,103653
00002201.jpg,1200,633,779,293,1148,519,False,369,226,83394
00001046.jpg,390,280,122,3,365,202,False,243,199,48357
00000358.jpg,6000,4000,3241,724,4441,1655,False,1200,931,1117200
00001720.jpg,600,900,175,5,463,495,False,288,490,141120
00002229.jpg,374,580,166,161,273,351,False,107,190,20330
00003123.jpg,538,700,123,159,174,237,False,51,78,3978
00001734.jpg,1023,709,534,53,849,306,False,315,253,79695
00001052.jpg,500,813,181,9,372,370,False,191,361,68951
00002563.jpg,1280,855,444,13,804,294,False,360,281,101160
00002563.jpg,1280,855,700,247,1060,528,False,360,281,101160
00002205.jpg,861,1390,368,67,464,247,False,96,180,17280
00001718.jpg,398,600,149,66,225,200,False,76,134,10184
00000406.jpg,200,200,80,51,119,97,False,39,46,1794
00002211.jpg,1300,956,202,64,1156,862,False,954,798,761292
00002577.jpg,683,1024,295,338,423,557,False,128,219,28032
00000348.jpg,590,342,319,69,418,137,False,99,68,6732
00001056.jpg,2940,1960,1374,340,1961,797,False,587,457,268259
00001730.jpg,600,420,265,35,408,151,False,143,116,16588
00003127.jpg,6000,4000,3293,1004,4573,2019,False,1280,1015,1299200
00002239.jpg,1000,667,609,95,897,318,False,288,223,64224
00002239.jpg,1000,667,385,163,613,340,False,228,177,40356
00002239.jpg,1000,667,87,91,351,292,False,264,201,53064
00003133.jpg,612,408,174,230,273,306,False,99,76,7524
00003133.jpg,612,408,272,227,375,307,False,103,80,8240
00001724.jpg,407,612,93,99,283,423,False,190,324,61560
